trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-145.19999277718097,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-103.23525744321887,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-150.95923007376567,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-115.06801240530184,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-13.250398109780786,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-104.92488959903174,"{0: 18, 1: 7, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-7.545548560786875,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-90.01549851124105,"{0: 16, 1: 0, 2: 7, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-141.30289289807618,"{0: 15, 1: 1, 2: 4, 3: 4, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-150.05094014710622,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,14.509215356847914,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-61.830671662406026,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-130.86494766068884,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,27.77223465779998,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-82.49443251432159,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,4,4.978553144640015,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-65.64503046713133,"{0: 23, 1: 4, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-62.271062988240544,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-106.80891440362709,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-76.27236691869044,"{0: 20, 1: 1, 2: 0, 3: 3, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",35,0,-106.32905726319078,"{0: 30, 1: 1, 2: 0, 3: 1, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",20,0,14.29061359293625,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,15,18.663030813929048,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,-113.06667118143334,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,0,-60.08069646852822,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-83.45495371685197,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-50.2508465976962,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,0,-42.01583965800185,"{0: 24, 1: 2, 2: 2, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,5,-19.582657541924906,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,0,-57.76089023417462,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
