trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-149.32664338642684,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.52775947582431,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.93690821710828,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.8899225996756,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.30118154594034,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.59045875366998,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,5,-166.09086325828605,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-12.81788158369169,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.77021802911653,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.049659360506766,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.13570630699812,"{0: 18, 1: 7, 2: 1, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,5,-56.08927322193963,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,18,-12.170537912822809,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.0400961534845,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-59.16561586584145,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.91766189522649,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.114713945469177,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.22329111524748,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.41724819588708,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.93351669477573,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-147.75923382216075,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-31.199746171195738,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-203.84205327747037,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-110.42780147103844,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-273.43961693579485,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 5}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-123.90761064271183,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-42.73066230613558,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.51911683681521,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-215.4810858205258,"{0: 15, 1: 1, 2: 11, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.10241580820889,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
